nct_id,overallStatus,study_type,why_stopped
NCT02971839,TERMINATED,INTERVENTIONAL,Decision by Sponsor.
NCT02972281,TERMINATED,INTERVENTIONAL,deficient inclusions
NCT02972294,TERMINATED,INTERVENTIONAL,1year inclusion hold due to PV new fact (Monofer hold for risk revaluation) DSMB Interim analysis : 1treatment with important transfusion risk reduction/inclusions issues (COVID)/sites change of practice if study continue=\>stop inclusions
NCT02972450,TERMINATED,INTERVENTIONAL,"Due to the bankruptcy of FITBiotech, the provider of the GTU DNA vaccine."
NCT02972502,TERMINATED,INTERVENTIONAL,PI lapsed institutional training
NCT02972658,TERMINATED,INTERVENTIONAL,"As the feeder study (AZES) was stopped for futility after an independent assessment, this trial was also stopped."
NCT02972866,WITHDRAWN,INTERVENTIONAL,Regulatory strategy
NCT02973009,WITHDRAWN,OBSERVATIONAL,investigator choice
NCT02973074,TERMINATED,INTERVENTIONAL,no enough partícipants enrolled in the 1 year planned for recruitment
NCT02973191,WITHDRAWN,INTERVENTIONAL,Development of JCAR015 has been discontinued. No subjects were enrolled/treated under protocol JCAR015-ALL-001
NCT02973269,TERMINATED,INTERVENTIONAL,New trial with same indication initiated
NCT02973295,WITHDRAWN,INTERVENTIONAL,Sponsor withdrawn their agreement
NCT02973399,TERMINATED,INTERVENTIONAL,Low recruitment
NCT02973711,WITHDRAWN,INTERVENTIONAL,lack of funding
NCT02974023,WITHDRAWN,OBSERVATIONAL,Study not started due to the Regulatory and administrative issues of Universities in Vietnam
NCT02974140,TERMINATED,INTERVENTIONAL,Management Decision
NCT02974257,TERMINATED,INTERVENTIONAL,Study stopped early after consultation with DSMB
NCT02974322,WITHDRAWN,INTERVENTIONAL,Sponsor decision not to start trial
NCT02974673,TERMINATED,INTERVENTIONAL,lack of recruitment
NCT02974686,TERMINATED,INTERVENTIONAL,low recruitment
NCT02974777,WITHDRAWN,INTERVENTIONAL,not started due to regulatory reasons
NCT02974790,TERMINATED,OBSERVATIONAL,Not enough patient
NCT02974803,TERMINATED,INTERVENTIONAL,Very slow accrual
NCT02975011,TERMINATED,OBSERVATIONAL,This study was prematurely terminated due to delayed patient enrollment.
NCT02975128,TERMINATED,INTERVENTIONAL,Needle production stopped
NCT02975271,TERMINATED,INTERVENTIONAL,Business Reasons
NCT02975336,TERMINATED,INTERVENTIONAL,Study is completed; primary analysis completed.
NCT02975505,SUSPENDED,INTERVENTIONAL,Due to challenges in recruitment and holding visits during COVID
NCT02975557,TERMINATED,INTERVENTIONAL,Slow accrual of subjects. May take longer than expected to complete the trial.
NCT02975570,WITHDRAWN,INTERVENTIONAL,The study could not be conducted since funding was not obtained.
NCT02975583,WITHDRAWN,INTERVENTIONAL,We could not secure adequate medication
NCT02975713,TERMINATED,OBSERVATIONAL,"no participants were recruited,study stopped"
NCT02975739,TERMINATED,INTERVENTIONAL,Slow accrual
NCT02975778,TERMINATED,INTERVENTIONAL,Budgetary and operational issues
NCT02975921,WITHDRAWN,INTERVENTIONAL,The site decided not to proceed with the protocol.
NCT02975999,WITHDRAWN,INTERVENTIONAL,"Pilot study is finished, multi centered is not moving forward"
NCT02976038,TERMINATED,INTERVENTIONAL,Registration trial did not meet the primary end points
NCT02976441,WITHDRAWN,INTERVENTIONAL,Physician decided not to go through with study
NCT02976558,TERMINATED,INTERVENTIONAL,"Due to organisational issues, the study had to be completed prematurely."
NCT02976701,TERMINATED,INTERVENTIONAL,The investigational cases were no longer relevant considering the recent implementation of our current national healthcare system.
NCT02976766,TERMINATED,INTERVENTIONAL,Low enrolment
NCT02976948,TERMINATED,OBSERVATIONAL,Inclusion of the last patient
NCT02977039,WITHDRAWN,INTERVENTIONAL,no funding
NCT02977286,TERMINATED,INTERVENTIONAL,Poor enrollment
NCT02977585,TERMINATED,INTERVENTIONAL,COVID 19 PANDEMIA
NCT02977611,WITHDRAWN,INTERVENTIONAL,FDA Clinical Hold
NCT02977689,WITHDRAWN,INTERVENTIONAL,Novartis paused all study start-up activities due to safety evaluation of IDH305 compound.
NCT02977741,WITHDRAWN,OBSERVATIONAL,Inability to recruit patients
NCT02977767,WITHDRAWN,INTERVENTIONAL,Participants do not accept hypnosis.
NCT02978222,TERMINATED,INTERVENTIONAL,Futility analysis did not support continuation of the trial
NCT02978235,TERMINATED,INTERVENTIONAL,The trial was put on Clinical Hold and subsequently terminated prior to Phase 2 due to cases of drug induced liver injury meeting the criteria for Hy's Law
NCT02978378,TERMINATED,OBSERVATIONAL,insufficient patients to satisfy study protocol(s) inclusion criteria
NCT02978443,TERMINATED,INTERVENTIONAL,Lack of Enrollment
NCT02978560,WITHDRAWN,OBSERVATIONAL,Funding was never obtained
NCT02978651,WITHDRAWN,INTERVENTIONAL,Strategic decision of Sponsor
NCT02978716,TERMINATED,INTERVENTIONAL,Primary Analysis and survival follow up completed per protocol. Not stopped due to safety concerns
NCT02978742,WITHDRAWN,INTERVENTIONAL,Study not funded.
NCT02978833,TERMINATED,INTERVENTIONAL,"slow enrollment, lack of patients"
NCT02978885,TERMINATED,INTERVENTIONAL,Poor enrollment
NCT02979093,TERMINATED,INTERVENTIONAL,Unable to recruit proposed study sample size due to COVID restrictions.
NCT02980198,WITHDRAWN,INTERVENTIONAL,reorganization proceedings with a potential risk of company liquidation
NCT02980484,TERMINATED,INTERVENTIONAL,Investigators left the institution for unrelated reasons
NCT02980705,TERMINATED,INTERVENTIONAL,Study terminated-Sponsor's decision
NCT02980874,TERMINATED,INTERVENTIONAL,"Primary, 8-week efficacy endpoint not achieved. No additional benefit for subjects receiving a corticosteroid together with an intravitreal anti-VEGF agent."
NCT02981017,WITHDRAWN,INTERVENTIONAL,Decided to do a different clinical trial opportunity.
NCT02981082,TERMINATED,INTERVENTIONAL,Low recruitment
NCT02981134,WITHDRAWN,OBSERVATIONAL,This study will be revived with retrospective design.
NCT02981160,WITHDRAWN,INTERVENTIONAL,Pending Organization approval
NCT02981355,TERMINATED,INTERVENTIONAL,Lack of funding
NCT02981394,WITHDRAWN,OBSERVATIONAL,No active enrollment of patients.
NCT02981459,WITHDRAWN,INTERVENTIONAL,Withdrawn by Sponsor
NCT02981550,WITHDRAWN,OBSERVATIONAL,2 NaNose devices provided inconsistent results in lab calibration testing
NCT02982291,WITHDRAWN,INTERVENTIONAL,Difficulty recruiting patients
NCT02982499,TERMINATED,OBSERVATIONAL,Principal investigator's decision due to lack of resources
NCT02982551,WITHDRAWN,INTERVENTIONAL,Principal Investigator Departed University
NCT02982642,WITHDRAWN,INTERVENTIONAL,Sponsor cannot conduct research due to insufficient funding supportment
NCT02982668,TERMINATED,INTERVENTIONAL,Significantly higher mortality
NCT02982694,TERMINATED,INTERVENTIONAL,"The results of the interim analysis showed that the efficacy in the MSS subgroup (MSI like) is inferior to the expected, and this situation is very unlikely to be reversed if the trial is fully completed."
NCT02982720,TERMINATED,INTERVENTIONAL,Manufacturer discontinued Sylatron
NCT02983058,TERMINATED,INTERVENTIONAL,To obtain funding for a larger study
NCT02983097,TERMINATED,INTERVENTIONAL,Phase II: no scientific interests are given anymore
NCT02983266,WITHDRAWN,INTERVENTIONAL,Insufficient funding
NCT02983903,TERMINATED,INTERVENTIONAL,Interim analysis also showed a lack of benefit in the experimental arm.
NCT02984033,WITHDRAWN,OBSERVATIONAL,No patient enrolled
NCT02984085,TERMINATED,INTERVENTIONAL,Replaced by new study in progress
NCT02984618,TERMINATED,INTERVENTIONAL,High recurrence of headache in SPG group.
NCT02984683,TERMINATED,INTERVENTIONAL,Study discontinued considering the limited clinical benefit combined with a higher than expected rate of known non-serious ophthalmological event.
NCT02984813,TERMINATED,INTERVENTIONAL,Investigator left the institution
NCT02984891,TERMINATED,OBSERVATIONAL,Slow enrollment
NCT02985021,TERMINATED,INTERVENTIONAL,Competing studies
NCT02985177,WITHDRAWN,INTERVENTIONAL,We couldn't obtain funds for this study
NCT02985203,TERMINATED,INTERVENTIONAL,No participants were enrolled as schedule.
NCT02985242,TERMINATED,INTERVENTIONAL,difficulties to recruit planned numbers of patients within reasonable time frame
NCT02985489,WITHDRAWN,INTERVENTIONAL,No patients recruited
NCT02985554,TERMINATED,INTERVENTIONAL,Study stopped early due to slow accrual and safety concerns.
NCT02985632,WITHDRAWN,INTERVENTIONAL,Business objectives have changed.
NCT02985801,TERMINATED,INTERVENTIONAL,Study was terminated due to difficulty in recruiting subjects.
NCT02985840,TERMINATED,INTERVENTIONAL,Unable to access EMR for patients enrolled prior to 8/2015 for data collection
NCT02985879,TERMINATED,INTERVENTIONAL,This study was prematurely discontinued because the program for progressive supranuclear palsy was discontinued due to lack of efficacy of study drug.
NCT02985918,TERMINATED,INTERVENTIONAL,"The trial has been terminated by the DSMB and the trial steering committee, based on the interim analysis results and the impracticality of continuing the trial in the context of the coronavirus disease 2019 (COVID-19) pandemic."
NCT02986217,TERMINATED,INTERVENTIONAL,PI Left institution and did not transfer study to another PI
NCT02986477,WITHDRAWN,INTERVENTIONAL,PI leaving institution
NCT02986646,TERMINATED,OBSERVATIONAL,Low enrollment
NCT02986685,WITHDRAWN,INTERVENTIONAL,Lack of funds
NCT02986711,TERMINATED,INTERVENTIONAL,Funding exhausted
NCT02986815,TERMINATED,INTERVENTIONAL,low enrollment
NCT02986919,WITHDRAWN,INTERVENTIONAL,Lack of enrollment.
NCT02986971,TERMINATED,INTERVENTIONAL,Minor design modifications to device to be investigated in new trial
NCT02987010,WITHDRAWN,INTERVENTIONAL,Sponsor did not want to move forward with protocol; study was never opened.
NCT02987309,TERMINATED,OBSERVATIONAL,Equipment failure
NCT02987660,TERMINATED,INTERVENTIONAL,management decision; non patient safety related reason
NCT02987764,TERMINATED,INTERVENTIONAL,Subject recruitment and enrollment was low throughout the three years the study was active.
NCT02987855,WITHDRAWN,INTERVENTIONAL,Withdrawn \[COVID restrictions prevent patient enrollment or treatment. Clinical Trial facility is being closed due to viral limitations and loss of staff to perform\]
NCT02987920,TERMINATED,INTERVENTIONAL,The surgeon changed pain control protocol for all patients. Continued enrollment impossible under approved protocol.
NCT02987959,TERMINATED,INTERVENTIONAL,Closed to accrual due to Funding Sponsor withdrawing support due to low accrual
NCT02987998,TERMINATED,INTERVENTIONAL,higher than expected rate of toxicity \& unrealistic timeline to complete trial under company's proposed plan to reopen
NCT02988063,WITHDRAWN,INTERVENTIONAL,Poor enrollment
NCT02988076,SUSPENDED,INTERVENTIONAL,Lack of recruiting at primary study site
NCT02988258,SUSPENDED,INTERVENTIONAL,Protocol being re-written to allow inclusion of more patients
NCT02988609,TERMINATED,INTERVENTIONAL,difficulty in enrollment and changes in methodology
NCT02988648,WITHDRAWN,INTERVENTIONAL,The study was withdrawn due to lack of enrollment.
NCT02988726,TERMINATED,INTERVENTIONAL,Slow accrual
NCT02988778,WITHDRAWN,INTERVENTIONAL,regulatory strategy
NCT02988843,TERMINATED,INTERVENTIONAL,Funding Unavailable
NCT02988947,TERMINATED,INTERVENTIONAL,Unavailability of the clinical team
NCT02989129,WITHDRAWN,INTERVENTIONAL,FDA IND Approval
NCT02989168,TERMINATED,INTERVENTIONAL,The study was terminated due to lack of clinically meaningful benefit
NCT02989597,TERMINATED,INTERVENTIONAL,Due to personnel loss and logistical issues the study was unable to be completed as planned.
NCT02989649,TERMINATED,OBSERVATIONAL,Business Decision; No Safety Or Efficacy Concerns
NCT02989870,WITHDRAWN,INTERVENTIONAL,No Interest. Investigator was unable to enroll any participants on study.
NCT02990078,TERMINATED,OBSERVATIONAL,Sufficient sample size enrolled to demonstrate scientific goals of the study
NCT02990091,WITHDRAWN,INTERVENTIONAL,Unable to recruit participants
NCT02990143,TERMINATED,INTERVENTIONAL,Investigator left the Institution
NCT02990273,TERMINATED,INTERVENTIONAL,No funding source available which was required for IRB approval
NCT02990312,WITHDRAWN,INTERVENTIONAL,Lack of enrollment
NCT02990546,WITHDRAWN,INTERVENTIONAL,Unable to enroll subjects before PI left institution
NCT02990832,WITHDRAWN,INTERVENTIONAL,The study was deemed unfeasible to complete.
NCT02990845,TERMINATED,INTERVENTIONAL,"The enrolment became difficult, as most of the premenopausal women decided to receive ovarian ablation for health insurance reimbursement for CDK4/6 inhibitor for the first-line treatment, making them ineligible for joining the study."
NCT02990949,TERMINATED,INTERVENTIONAL,Stopped due to lack of enrollement
NCT02991027,WITHDRAWN,INTERVENTIONAL,No subjects needed for enrollment anymore
NCT02991131,TERMINATED,OBSERVATIONAL,Company decision
NCT02991196,TERMINATED,INTERVENTIONAL,Business Decision
NCT02991430,TERMINATED,INTERVENTIONAL,Inability to supply and maintain treatment device. No safety concerns occurred.
NCT02991547,TERMINATED,OBSERVATIONAL,Initial Principal Investigator no longer at institution.
NCT02991651,SUSPENDED,INTERVENTIONAL,Limited IRX4204 Study Drug Supply
NCT02991768,TERMINATED,INTERVENTIONAL,Enrollment not continued
NCT02991898,TERMINATED,INTERVENTIONAL,Considering new technology for product.
NCT02991950,TERMINATED,INTERVENTIONAL,Difficulty with patient enrollment
NCT02992054,TERMINATED,OBSERVATIONAL,The number of patients were enough for statistic treatment
NCT02992340,TERMINATED,INTERVENTIONAL,Sponsor decided to terminate the study and not proceed to Phase 2.
NCT02992418,TERMINATED,INTERVENTIONAL,No answer received from the Philippines Food and Drug Administration on protocol amendment issued due to IDMC recommendations. CYD vaccine 3rd dose not given.
NCT02992860,TERMINATED,INTERVENTIONAL,"Enrollement was stopped due to a recommendation by the IDMC/FDA for a parallel clinical trial with TALA, where potentielly no efficancy could be determined."
NCT02992964,TERMINATED,INTERVENTIONAL,Withdrawal of drug supply/funding
NCT02992977,TERMINATED,INTERVENTIONAL,To enable development of an enhanced version of the vaccine.
NCT02993003,WITHDRAWN,INTERVENTIONAL,No enrollment
NCT02993094,TERMINATED,INTERVENTIONAL,"Due to slow recruitment, the study had to be terminated prematurely."
NCT02993263,TERMINATED,INTERVENTIONAL,The study was withdrawn as there was an ECG equipment and software malfunction. There is no results for this study because of the equipment malfunction.
NCT02993328,WITHDRAWN,INTERVENTIONAL,Study location changed
NCT02993458,TERMINATED,INTERVENTIONAL,safety risks to youth in the study required early termination of the study
NCT02993536,WITHDRAWN,OBSERVATIONAL,Low likelihood to usedrug in clinic practice based on emergining AE profile and data from front line clinical trials
NCT02993783,TERMINATED,INTERVENTIONAL,Lack of efficacy of the drug; no safety concern
NCT02993991,WITHDRAWN,INTERVENTIONAL,The study has been terminated due to a change in internal prioritization and not due to any safety concerns.
NCT02994186,WITHDRAWN,OBSERVATIONAL,funding
NCT02994251,TERMINATED,INTERVENTIONAL,Study terminated due to low enrollment making it unlikely to meet recruitment goals.
NCT02994433,TERMINATED,INTERVENTIONAL,remaining visits and enrollment terminated due to the pandemic
NCT02994563,TERMINATED,INTERVENTIONAL,Subject recruitment problem due to Covid pandemic
NCT02994589,WITHDRAWN,INTERVENTIONAL,Study was never started
NCT02994771,TERMINATED,INTERVENTIONAL,Lack of efficacy
NCT02994784,TERMINATED,INTERVENTIONAL,"Slow Accrual during COVID pandemic, alternative treatments available. Study halted early."
NCT02994823,TERMINATED,OBSERVATIONAL,prolonged device failure after just 10 participants and too long to resume
NCT02994914,TERMINATED,INTERVENTIONAL,Low rythm of inclusions
NCT02994953,TERMINATED,INTERVENTIONAL,The study got discontinued due to lack of efficacy
NCT02995083,WITHDRAWN,INTERVENTIONAL,Study deemed not feasible
NCT02995330,TERMINATED,INTERVENTIONAL,lack of accrual
NCT02995382,WITHDRAWN,INTERVENTIONAL,Funding was not received and the study could not proceed without this support.
NCT02995512,WITHDRAWN,INTERVENTIONAL,feasibility
NCT02995642,WITHDRAWN,INTERVENTIONAL,Resources not secured
NCT02995681,TERMINATED,INTERVENTIONAL,COVID-19 pandemic restrictions
NCT02995746,TERMINATED,INTERVENTIONAL,Terminated due to lack of drug efficacy. 2017 study did not show benefit.
NCT02995967,TERMINATED,INTERVENTIONAL,Poor enrollment
NCT02996149,TERMINATED,OBSERVATIONAL,Technique no longer available
NCT02996162,WITHDRAWN,OBSERVATIONAL,The research never began; the PI has chosen to no longer pursue this project.
NCT02996266,TERMINATED,INTERVENTIONAL,Futility
NCT02996448,TERMINATED,INTERVENTIONAL,Safety concerns led to early termination.
NCT02996760,TERMINATED,INTERVENTIONAL,difficulty in recruiting
NCT02996942,WITHDRAWN,OBSERVATIONAL,Not active
NCT02997059,TERMINATED,INTERVENTIONAL,Limited recourse to intestinal resection due to new management of CD
NCT02997098,WITHDRAWN,OBSERVATIONAL,Study design changed to clinical database only with no research question to be studied.
NCT02997150,WITHDRAWN,INTERVENTIONAL,no treatment available
NCT02997189,TERMINATED,INTERVENTIONAL,Negative Efficacy Results from the recently completed Phase 3 study 104-201506
NCT02997527,WITHDRAWN,INTERVENTIONAL,Completed very similar study
NCT02997540,TERMINATED,OBSERVATIONAL,Successfully obtained sufficient data to complete this research project.
NCT02997670,WITHDRAWN,INTERVENTIONAL,"Work focused in other areas, other groups working on this."
NCT02997696,TERMINATED,INTERVENTIONAL,The study was stopped for business reasons. No safety issues were reported.
NCT02997722,TERMINATED,INTERVENTIONAL,Staffing and space deficiencies prevented completion of the study.
NCT02997839,TERMINATED,INTERVENTIONAL,Change in design to observational study
NCT02997956,WITHDRAWN,INTERVENTIONAL,funding issues
NCT02998008,TERMINATED,INTERVENTIONAL,due to difficulties to attract participants
NCT02998047,TERMINATED,INTERVENTIONAL,Poor recruitment
NCT02998060,WITHDRAWN,INTERVENTIONAL,Change in study design \[Randomization not feasible\]
NCT02998372,TERMINATED,OBSERVATIONAL,Not reaching targeted enrollment
NCT02998541,TERMINATED,INTERVENTIONAL,"Sponsor decision, unrelated to safety"
NCT02998554,TERMINATED,INTERVENTIONAL,"Sponsor decision, unrelated to safety"
NCT02998606,TERMINATED,INTERVENTIONAL,Investigator left Institution
NCT02999100,TERMINATED,INTERVENTIONAL,"Inability to reliably measure plasma oxytocin levels during third stage labour, regardless of administration method (intramuscular or inhaled)."
NCT02999152,TERMINATED,INTERVENTIONAL,"Low rythm of inclusions, financial support terminated"
NCT02999165,TERMINATED,OBSERVATIONAL,Failure to recruit participants due to change in local clinical practice.
NCT02999243,TERMINATED,INTERVENTIONAL,"IRB expired, PI no longer at institution."
NCT02999633,TERMINATED,INTERVENTIONAL,"Due to an unsatisfactory benefit/risk ratio, as specified in \& 14.8.1 of the protocol, Sanofi decided to stop enrollment and terminate ACT14596 prematurely"
NCT02999854,TERMINATED,INTERVENTIONAL,"Insufficient efficacy, terminated by Sponsor"
NCT02999893,TERMINATED,INTERVENTIONAL,Funding ceased
NCT02999906,WITHDRAWN,INTERVENTIONAL,For business reasons.
NCT02999932,TERMINATED,INTERVENTIONAL,Slow inclusion
NCT02999945,WITHDRAWN,INTERVENTIONAL,no funding
NCT03000127,WITHDRAWN,INTERVENTIONAL,Lack of funding
NCT03000153,TERMINATED,INTERVENTIONAL,Organisational changes at site meant that recruitment was no longer feasible.
NCT03000179,TERMINATED,INTERVENTIONAL,Low accrual
NCT03000595,WITHDRAWN,INTERVENTIONAL,Study location changed
NCT03000634,WITHDRAWN,INTERVENTIONAL,Study was not and will not be initiated due to lack of funding.
NCT03000660,TERMINATED,INTERVENTIONAL,partial clinical hold per FDA
NCT03000686,TERMINATED,INTERVENTIONAL,"Study terminated for technical feasibility, operational considerations and futility in line with pre-specified criteria."
NCT03000868,WITHDRAWN,INTERVENTIONAL,No participants were enrolled.
NCT03001037,SUSPENDED,OBSERVATIONAL,Pending internal study review and potential protocol modification
NCT03001050,WITHDRAWN,INTERVENTIONAL,"Investigator requested to close, lack of equipment available."
NCT03001141,TERMINATED,OBSERVATIONAL,Ethic Comitte (CONEP) determinated the prematurely terminated.
NCT03001219,TERMINATED,INTERVENTIONAL,The trial was prematurely terminated due to a lack of efficacy of the investigational drug.
NCT03001323,TERMINATED,INTERVENTIONAL,Enrollment was too low to provide statistically significant data
NCT03001349,TERMINATED,INTERVENTIONAL,Per PI Request
NCT03001505,WITHDRAWN,OBSERVATIONAL,Study design changed to clinical database only with no research question to be studied.
NCT03001583,WITHDRAWN,INTERVENTIONAL,The investigators hadn't got funding to support the study
NCT03002012,TERMINATED,INTERVENTIONAL,"SAEs with n=1 serotonin syndrome, n=2 SAEs after sertraline interruption."
NCT03002103,SUSPENDED,INTERVENTIONAL,study design reconsideration
NCT03002454,TERMINATED,INTERVENTIONAL,Altered biodistribution in investigational images versus standard images.
NCT03002467,TERMINATED,INTERVENTIONAL,Low recruitment rate
NCT03002480,WITHDRAWN,INTERVENTIONAL,Study never opened.
NCT03002506,TERMINATED,INTERVENTIONAL,Much slower recruitment than anticipated
NCT03002597,TERMINATED,INTERVENTIONAL,Issue reaching target enrollement
NCT03002623,TERMINATED,INTERVENTIONAL,Study was closed because investigator left the National Institutes of Health.
NCT03002831,TERMINATED,INTERVENTIONAL,Study halted prematurely and will not resume
NCT03003195,WITHDRAWN,INTERVENTIONAL,Lack of Funding
NCT03003273,TERMINATED,INTERVENTIONAL,poor accrual
NCT03003338,TERMINATED,INTERVENTIONAL,The recruitment was stopped prematurely by the sponsor in accordance with the principal investigator because of the difficulties to recruit patients and to achieve the planned numbers of patients within a reasonable time frame.
NCT03003390,TERMINATED,INTERVENTIONAL,Met protocol defined stopping rule for futility
NCT03003728,WITHDRAWN,INTERVENTIONAL,Withdrawal of study support
NCT03003949,TERMINATED,INTERVENTIONAL,In-person visit restrictions due to COVID-19
NCT03004001,TERMINATED,INTERVENTIONAL,Difficult recruitment
NCT03004105,WITHDRAWN,INTERVENTIONAL,Inadequate funding
NCT03004235,TERMINATED,OBSERVATIONAL,IRB is reviewing all studies at the institution and are on hold
NCT03004430,TERMINATED,INTERVENTIONAL,COVID-19 Pandemic
NCT03004443,TERMINATED,INTERVENTIONAL,The study was suspended in March 2020 due to the COVID-19 pandemic and ultimately was terminated as it is not safe to test a potent anti-inflammatory drug with ongoing surges of COVID-19.
NCT03004482,SUSPENDED,OBSERVATIONAL,lack of Funding
NCT03004560,TERMINATED,INTERVENTIONAL,Lack of enrollment
NCT03004599,TERMINATED,INTERVENTIONAL,Due to the business issues. Manufacturer has been acquired by other company.
NCT03004677,TERMINATED,INTERVENTIONAL,To difficult to recruit.
NCT03004885,TERMINATED,INTERVENTIONAL,Insufficient CO2 removal obtained with the PrismaLung membrane oxygenator
NCT03005015,WITHDRAWN,INTERVENTIONAL,supporting company (Eisai) withdrew their interest
NCT03005054,TERMINATED,INTERVENTIONAL,Protracted enrollment and limited wound closure in the first three subjects
NCT03005184,WITHDRAWN,INTERVENTIONAL,Study is being redesigned and submitted as a new study.
NCT03005379,TERMINATED,INTERVENTIONAL,Study is terminated for futility per protocol-specified interim analysis and DMC recommendation.
NCT03005587,WITHDRAWN,OBSERVATIONAL,Lack of Funds
NCT03005639,WITHDRAWN,INTERVENTIONAL,Sponsor has decided to close study.
NCT03005860,WITHDRAWN,INTERVENTIONAL,"Funding could not be arranged, so the study was prematurely terminated"
NCT03005899,TERMINATED,INTERVENTIONAL,Clinical trial was terminated due to discontinuation of drug product by the investigational drug supplier.
NCT03005912,TERMINATED,INTERVENTIONAL,Insufficient recruitment
NCT03006562,TERMINATED,INTERVENTIONAL,Early stopping point based on 2nd interim analysis (planned per protocol)
NCT03006679,WITHDRAWN,INTERVENTIONAL,Sponsor Decision
NCT03006744,WITHDRAWN,INTERVENTIONAL,"Unfavourable opinion from NHS ethics. Due to low recruitment from NHS sources in another study, it was decided not to reapply but to withdraw the study."
NCT03007381,WITHDRAWN,INTERVENTIONAL,No funding.
NCT03007511,SUSPENDED,INTERVENTIONAL,Due to limited financial resource
NCT03007537,TERMINATED,INTERVENTIONAL,lack of funds
NCT03007719,TERMINATED,INTERVENTIONAL,Low Accrual
NCT03007771,WITHDRAWN,INTERVENTIONAL,Decision was made to not go forward with the study
NCT03008213,TERMINATED,INTERVENTIONAL,PI is leaving UCSD
NCT03008395,WITHDRAWN,INTERVENTIONAL,Unable to secure clinic support for conducting research
NCT03008512,TERMINATED,INTERVENTIONAL,Poor accrual
NCT03008616,TERMINATED,INTERVENTIONAL,"Following a recommendation from the Data and Safety Monitoring Board (DSMB), the study was stopped early for futility. There were no safety concerns raised."
NCT03008772,WITHDRAWN,OBSERVATIONAL,Not funded
NCT03009058,TERMINATED,INTERVENTIONAL,Commercial reasons
NCT03009110,TERMINATED,INTERVENTIONAL,DSMB recommendation following interim analysis
NCT03009799,WITHDRAWN,INTERVENTIONAL,Study stopped following management decision
NCT03009877,WITHDRAWN,INTERVENTIONAL,withdrawn prior to IRB approval
NCT03010046,TERMINATED,INTERVENTIONAL,ANX005 well tolerated at doses studied; study discontinued and initiated in patient population
NCT03010137,TERMINATED,INTERVENTIONAL,Lack of staff resources to properly consent and enroll patients into the study.
NCT03010423,TERMINATED,INTERVENTIONAL,"The study was terminated early, due to the lack of approval of data exportation from the Office of Human Genetic Resource Administration (OHGRA) China."
NCT03010761,TERMINATED,INTERVENTIONAL,all participants finished the trial
NCT03010865,WITHDRAWN,INTERVENTIONAL,sponsor withdrew the funds because the smell of sodium butyrate made blinding impossible
NCT03010995,WITHDRAWN,INTERVENTIONAL,Study discontinued due to lack of study funding.
NCT03011073,WITHDRAWN,OBSERVATIONAL,investigator decision
NCT03011229,WITHDRAWN,INTERVENTIONAL,Slow enrollment
NCT03011307,TERMINATED,INTERVENTIONAL,"Cessation of funding period prior to completion, due to slow recruitment during the pandemic."
NCT03011619,WITHDRAWN,INTERVENTIONAL,PI left institution
NCT03011645,TERMINATED,INTERVENTIONAL,Lack of participants
NCT03012282,TERMINATED,INTERVENTIONAL,Termination due to slow accrual
NCT03012646,WITHDRAWN,INTERVENTIONAL,Business decision
NCT03012737,TERMINATED,INTERVENTIONAL,Difficulty in finding suitable patients.
NCT03013127,TERMINATED,INTERVENTIONAL,Inclusion of patients was stopped because ≤2 patients had clinical benefit.
NCT03013192,TERMINATED,INTERVENTIONAL,IRB and institutional re-assessment
NCT03013387,WITHDRAWN,INTERVENTIONAL,This project has undergone a significant amount of updates and has been resubmitted under IRB# 201708778
NCT03013426,WITHDRAWN,INTERVENTIONAL,NuvOx Pharma suspended the clinical program related to this study.
NCT03013608,TERMINATED,INTERVENTIONAL,recruitment difficulty
NCT03013673,TERMINATED,OBSERVATIONAL,Due to the ongoing conflict in the Tigray region
NCT03013842,TERMINATED,INTERVENTIONAL,Principal Investigator no longer at Site
NCT03013855,TERMINATED,INTERVENTIONAL,Unable to recruit participants
NCT03014141,WITHDRAWN,INTERVENTIONAL,Study supply issues
NCT03014219,WITHDRAWN,INTERVENTIONAL,FDA approval was not obtained until adult trial completes accrual
NCT03014284,WITHDRAWN,OBSERVATIONAL,"Military collaborator sample supplier was transferred, no samples obtained"
NCT03014297,TERMINATED,INTERVENTIONAL,Part I completed. Part 2 will not be done due to sponsor decision.
NCT03014323,WITHDRAWN,INTERVENTIONAL,No fundings
NCT03014804,WITHDRAWN,INTERVENTIONAL,Final contract negotiations
NCT03015051,TERMINATED,INTERVENTIONAL,Difficulty in recruiting subjects who meet the inclusion/exclusion criteria
NCT03015519,WITHDRAWN,INTERVENTIONAL,The study did not start recruiting as albiglutide would have been withdrawn from the market prior to study end.
NCT03015792,TERMINATED,INTERVENTIONAL,Per CS0139535 -submitter stated we can update status to Admin complete- low accrual reasoning
NCT03015831,TERMINATED,INTERVENTIONAL,Statistical analysis of interim data showed no advantage of colchicine
NCT03015961,TERMINATED,INTERVENTIONAL,Slow enrollment
NCT03016104,WITHDRAWN,INTERVENTIONAL,The problems of MST device
NCT03016195,TERMINATED,OBSERVATIONAL,Poor return rate/high dropout rate requiring alteration to study methodology
NCT03016468,WITHDRAWN,INTERVENTIONAL,Business decision
NCT03016949,WITHDRAWN,INTERVENTIONAL,Regulatory timelines for approval expired
NCT03016975,TERMINATED,INTERVENTIONAL,Procedure and device development
